kode_provinsi,nama_provinsi,tingkat_pendidikan,kelompok_usia,jumlah_guru
11,"Prov. Nanggroe Aceh Darussalam","TK","30 ke bawah",3203
11,"Prov. Nanggroe Aceh Darussalam","TK","31 - 35",1652
11,"Prov. Nanggroe Aceh Darussalam","TK","36 - 40",1227
11,"Prov. Nanggroe Aceh Darussalam","TK","41 - 45",1089
11,"Prov. Nanggroe Aceh Darussalam","TK","46 - 50",647
11,"Prov. Nanggroe Aceh Darussalam","TK","51 - 55",342
11,"Prov. Nanggroe Aceh Darussalam","TK","56 ke atas",72
11,"Prov. Nanggroe Aceh Darussalam","SD","30 ke bawah",13968
11,"Prov. Nanggroe Aceh Darussalam","SD","31 - 35",6266
11,"Prov. Nanggroe Aceh Darussalam","SD","36 - 40",4467
11,"Prov. Nanggroe Aceh Darussalam","SD","41 - 45",7223
11,"Prov. Nanggroe Aceh Darussalam","SD","46 - 50",5936
11,"Prov. Nanggroe Aceh Darussalam","SD","51 - 55",6503
11,"Prov. Nanggroe Aceh Darussalam","SD","56 ke atas",3057
11,"Prov. Nanggroe Aceh Darussalam","SMP","30 ke bawah",3588
11,"Prov. Nanggroe Aceh Darussalam","SMP","31 - 35",2515
11,"Prov. Nanggroe Aceh Darussalam","SMP","36 - 40",1933
11,"Prov. Nanggroe Aceh Darussalam","SMP","41 - 45",2985
11,"Prov. Nanggroe Aceh Darussalam","SMP","46 - 50",3150
11,"Prov. Nanggroe Aceh Darussalam","SMP","51 - 55",2465
11,"Prov. Nanggroe Aceh Darussalam","SMP","56 ke atas",1135
11,"Prov. Nanggroe Aceh Darussalam","SMA","30 ke bawah",2248
11,"Prov. Nanggroe Aceh Darussalam","SMA","31 - 35",2057
11,"Prov. Nanggroe Aceh Darussalam","SMA","36 - 40",1555
11,"Prov. Nanggroe Aceh Darussalam","SMA","41 - 45",1587
11,"Prov. Nanggroe Aceh Darussalam","SMA","46 - 50",1698
11,"Prov. Nanggroe Aceh Darussalam","SMA","51 - 55",1199
11,"Prov. Nanggroe Aceh Darussalam","SMA","56 ke atas",624
11,"Prov. Nanggroe Aceh Darussalam","SMK","30 ke bawah",859
11,"Prov. Nanggroe Aceh Darussalam","SMK","31 - 35",771
11,"Prov. Nanggroe Aceh Darussalam","SMK","36 - 40",614
11,"Prov. Nanggroe Aceh Darussalam","SMK","41 - 45",506
11,"Prov. Nanggroe Aceh Darussalam","SMK","46 - 50",475
11,"Prov. Nanggroe Aceh Darussalam","SMK","51 - 55",266
11,"Prov. Nanggroe Aceh Darussalam","SMK","56 ke atas",124
11,"Prov. Nanggroe Aceh Darussalam","SLB","30 ke bawah",20
11,"Prov. Nanggroe Aceh Darussalam","SLB","31 - 35",6
11,"Prov. Nanggroe Aceh Darussalam","SLB","36 - 40",8
11,"Prov. Nanggroe Aceh Darussalam","SLB","41 - 45",16
11,"Prov. Nanggroe Aceh Darussalam","SLB","46 - 50",16
11,"Prov. Nanggroe Aceh Darussalam","SLB","51 - 55",4
11,"Prov. Nanggroe Aceh Darussalam","SLB","56 ke atas",
12,"Prov. Sumatera Utara","TK","30 ke bawah",2536
12,"Prov. Sumatera Utara","TK","31 - 35",1180
12,"Prov. Sumatera Utara","TK","36 - 40",836
12,"Prov. Sumatera Utara","TK","41 - 45",873
12,"Prov. Sumatera Utara","TK","46 - 50",619
12,"Prov. Sumatera Utara","TK","51 - 55",308
12,"Prov. Sumatera Utara","TK","56 ke atas",99
12,"Prov. Sumatera Utara","SD","30 ke bawah",20398
12,"Prov. Sumatera Utara","SD","31 - 35",9603
12,"Prov. Sumatera Utara","SD","36 - 40",7392
12,"Prov. Sumatera Utara","SD","41 - 45",15922
12,"Prov. Sumatera Utara","SD","46 - 50",21338
12,"Prov. Sumatera Utara","SD","51 - 55",18131
12,"Prov. Sumatera Utara","SD","56 ke atas",9304
12,"Prov. Sumatera Utara","SMP","30 ke bawah",6603
12,"Prov. Sumatera Utara","SMP","31 - 35",4940
12,"Prov. Sumatera Utara","SMP","36 - 40",4260
12,"Prov. Sumatera Utara","SMP","41 - 45",5809
12,"Prov. Sumatera Utara","SMP","46 - 50",7486
12,"Prov. Sumatera Utara","SMP","51 - 55",5119
12,"Prov. Sumatera Utara","SMP","56 ke atas",2002
12,"Prov. Sumatera Utara","SMA","30 ke bawah",3231
12,"Prov. Sumatera Utara","SMA","31 - 35",2821
12,"Prov. Sumatera Utara","SMA","36 - 40",2456
12,"Prov. Sumatera Utara","SMA","41 - 45",2910
12,"Prov. Sumatera Utara","SMA","46 - 50",3093
12,"Prov. Sumatera Utara","SMA","51 - 55",2213
12,"Prov. Sumatera Utara","SMA","56 ke atas",1127
